"TraitName","Model","Predaccu","R2_Eq1","R2_Eq2"
"C14:0","G",0.405421509265149,0.126759036738444,0.119090627821369
"C14:0","G+M",0.631169645283492,0.254470276430082,0.243604390884047
"C14:0","G+T",0.448566886488523,0.110526409499192,0.094383494429192
"C14:0","G+T+M",0.608731349087888,0.221166455786263,0.214979301132632
"C14:0","M",0.430282994429158,0.248495069703767,0.236177829393389
"C14:0","T",0.338242841969786,0.0390099582953225,0.0217870846871813
"C16:0","G",0.530415434249325,0.220252142792606,0.208094719891032
"C16:0","G+M",0.851701292572206,0.594030811847115,0.587732318335622
"C16:0","G+T",0.530266118316371,0.212782321114474,0.207539464266281
"C16:0","G+T+M",0.851189517480911,0.589694837090007,0.572334873192843
"C16:0","M",0.821586076058883,0.583694489060832,0.583310204568652
"C16:0","T",0.450422011436269,0.13903921184671,0.131003567189079
"C16:1","G",0.610379389143005,0.272979348199432,0.266281950972686
"C16:1","G+M",0.659222792672233,0.311640161246939,0.30623551875922
"C16:1","G+T",0.565298043305148,0.269602293550665,0.264383826927703
"C16:1","G+T+M",0.646708192859053,0.307248828219822,0.299377321095588
"C16:1","M",0.567270666002442,0.275097516918166,0.266902235392048
"C16:1","T",0.635490429509123,0.223269028609658,0.211729070793776
"C18:0","G",0.492231908288599,0.218843208881978,0.21450735271365
"C18:0","G+M",0.876623255809869,0.688517393130806,0.677658752034377
"C18:0","G+T",0.55396626818612,0.242559793836128,0.231968671219616
"C18:0","G+T+M",0.872754764920134,0.687827134424786,0.664702112308265
"C18:0","M",0.838995708154269,0.691627626386569,0.683540914485153
"C18:0","T",0.506988515996017,0.191830484732596,0.171772200243145
"C18:1","G",0.556867945757765,0.27201245259235,0.262483889181591
"C18:1","G+M",0.872455080763053,0.72906070373308,0.705059717083955
"C18:1","G+T",0.618463937923191,0.290911685830784,0.2830531304369
"C18:1","G+T+M",0.849963767925646,0.718940963711953,0.690451113802429
"C18:1","M",0.8340443118333,0.725793057590961,0.703821295305678
"C18:1","T",0.53557986734463,0.242046953342214,0.222257926818294
"C18:2","G",0.585787262364575,0.263360933452242,0.256993185446035
"C18:2","G+M",0.83615126094492,0.614285296684322,0.594951745263336
"C18:2","G+T",0.577315135149675,0.274309317935794,0.263439661586801
"C18:2","G+T+M",0.83149098717773,0.608670796685954,0.5861631647949
"C18:2","M",0.800832121577619,0.611883227590382,0.595477885407004
"C18:2","T",0.559618493831231,0.22097641334564,0.207267930704085
"C18:3","G",0.344336693517352,0.0526767319600462,0.0414617928700774
"C18:3","G+M",0.516265169088895,0.0923640244029787,0.084838332528386
"C18:3","G+T",0.451654165342028,0.0463548518138523,0.0307332427992483
"C18:3","G+T+M",0.508872955819562,0.0778672350915539,0.0658567340801166
"C18:3","M",0.396820902615653,0.0868689941447529,0.0738985266069201
"C18:3","T",0.467502491498729,0.0316802621468039,0.0193261930226216
"C20:0","G",0.545526754831423,0.255380952629655,0.246956111078797
"C20:0","G+M",0.819327615645586,0.59497340237776,0.585977097334376
"C20:0","G+T",0.567637031719247,0.28118561600377,0.268702247656308
"C20:0","G+T+M",0.81243476319246,0.59388351768013,0.580520296210673
"C20:0","M",0.804386844961652,0.603213306422775,0.591627104392893
"C20:0","T",0.537243536889297,0.232018040396522,0.214055366230051
"C20:1","G",0.609268920721088,0.270318888945707,0.264405949768599
"C20:1","G+M",0.750782929241435,0.46599243156545,0.461222769307286
"C20:1","G+T",0.508107802215826,0.280717019686822,0.272100910732968
"C20:1","G+T+M",0.725944942864605,0.467308176404017,0.448145522268514
"C20:1","M",0.689740408253972,0.439638618422118,0.432400451773513
"C20:1","T",0.511668694426916,0.228769547422012,0.214587635284409
"Days to Heading","G",0.625767605865534,0.308720417252565,0.303098744461651
"Days to Heading","G+M",0.702262840800967,0.411440703221021,0.398819932981684
"Days to Heading","G+T",0.629842120490614,0.380354235162548,0.363054844842986
"Days to Heading","G+T+M",0.722200873246134,0.44263244484343,0.422200103676062
"Days to Heading","M",0.672782421415281,0.392179155611937,0.383285715428003
"Days to Heading","T",0.688210385694287,0.387125982189437,0.358616244461511
"Groat Percentage","G",0.554188005234846,0.264414729859604,0.257594915056064
"Groat Percentage","G+M",0.648874978547559,0.312260130140933,0.310503754636933
"Groat Percentage","G+T",0.581910627511246,0.270298102274877,0.262300135213547
"Groat Percentage","G+T+M",0.661769198438424,0.311405799436717,0.304855733858898
"Groat Percentage","M",0.570538570393411,0.242307438150328,0.235251383532045
"Groat Percentage","T",0.473253279927413,0.191833159653188,0.183336847464807
"Hundred Hull Weight","G",0.411897303970324,0.134033021361069,0.13336216168039
"Hundred Hull Weight","G+M",0.568177044150537,0.214178295304181,0.205952767879872
"Hundred Hull Weight","G+T",0.540364846868101,0.149904626292092,0.145184533343496
"Hundred Hull Weight","G+T+M",0.547975955816123,0.202730367036497,0.191586176877612
"Hundred Hull Weight","M",0.440214588882102,0.180026144952012,0.174308483823612
"Hundred Hull Weight","T",0.503908710269718,0.108158203729178,0.108024307889678
"Hundred Kernel Weight","G",0.716231224628268,0.453161926454894,0.445580425109103
"Hundred Kernel Weight","G+M",0.770711656210752,0.637336424236127,0.628160803823056
"Hundred Kernel Weight","G+T",0.721624221746676,0.524668394563786,0.517352977988166
"Hundred Kernel Weight","G+T+M",0.770477975119356,0.649060814961245,0.638296293424808
"Hundred Kernel Weight","M",0.67004039155994,0.585838075275297,0.579550631176166
"Hundred Kernel Weight","T",0.652090301572092,0.451157182712702,0.441811306231781
"Plant Height","G",0.606944630359334,0.298400276913835,0.291976651760803
"Plant Height","G+M",0.665883107810727,0.351558905360441,0.34628098611183
"Plant Height","G+T",0.557594313869046,0.291782304921816,0.281481301508022
"Plant Height","G+T+M",0.668994245034648,0.334638610122459,0.327308558292223
"Plant Height","M",0.548330746663174,0.277260441372214,0.270211137551357
"Plant Height","T",0.510272574642614,0.221950839260806,0.208045248763383
"Seed Height","G",0.771773388768363,0.527417268016063,0.524949555097708
"Seed Height","G+M",0.82840272547868,0.680237509992693,0.670306092497898
"Seed Height","G+T",0.767354758811784,0.60023532867792,0.592492493659412
"Seed Height","G+T+M",0.825921619096836,0.693342423309945,0.685657309541875
"Seed Height","M",0.74149077195257,0.61988398111953,0.617560631731992
"Seed Height","T",0.685228368759731,0.529634011571731,0.520138805747328
"Seed Length","G",0.433679338893301,0.14326717469354,0.13842431098104
"Seed Length","G+M",0.60693271723816,0.212997715119888,0.205076333726615
"Seed Length","G+T",0.521632706004296,0.138751357342338,0.136684966075258
"Seed Length","G+T+M",0.584127242772131,0.203206920773407,0.1978346272362
"Seed Length","M",0.409708743776416,0.155593093775458,0.143717639925248
"Seed Length","T",0.497016504254965,0.100868800417137,0.0848737933310546
"Seed Width","G",0.689992018090147,0.406272944274738,0.401309565541552
"Seed Width","G+M",0.736610098482738,0.530626329562063,0.525933737417261
"Seed Width","G+T",0.683285658742544,0.452028968051264,0.441989404616992
"Seed Width","G+T+M",0.750677911665913,0.536677927848172,0.525560597449461
"Seed Width","M",0.68548436221807,0.502445242102507,0.485657030847793
"Seed Width","T",0.642070749534251,0.364226949212268,0.350887554809987
